account_id,city,state,bfpo_no,postcode,country,total_gifts_amount,last_gift_date,gifts_past_18m
001PY00000fbbgXYAQ,New York,NY,,,United States,5250.0,2025-05-05,1.0
001PY00000fbbgYYAQ,Brooklyn,NY,,,United States,400.0,2022-04-20,0.0
001PY00000fbbgZYAQ,East Longmeadow,MA,,,United States,45500.0,2025-03-06,2.0
001PY00000fbbgaYAA,Baltimore,MD,,,United States,1000.0,2022-05-17,0.0
001PY00000fbbgbYAA,Burlington,VT,,,United States,80.0,2022-05-17,0.0
001PY00000fbbgdYAA,Poughkeepsie,NY,,,United States,125.0,2022-06-14,0.0
001PY00000fbbgeYAA,Rhinebeck,NY,,,United States,100.0,2022-06-20,0.0
001PY00000fbbgfYAA,Washington,DC,,,United States,25000.0,2022-06-29,0.0
001PY00000fbbghYAA,Norwalk,CT,,,United States,750.0,2022-01-10,0.0
001PY00000fbbgiYAA,Albany,NY,,,United States,15.0,2022-01-10,0.0
001PY00000fbbgjYAA,Milford,CT,,,United States,2000.0,2022-10-18,0.0
001PY00000fbbgkYAA,,,,,United States,125.0,2022-01-31,0.0
001PY00000fbbglYAA,,,,,United States,12435.1,2025-01-31,4.0
001PY00000fbbgmYAA,New York,NY,,,United States,25.98,2022-11-29,0.0
001PY00000fbbgnYAA,New York,NY,,,United States,30780.0,2024-10-18,3.0
001PY00000fbbgoYAA,,,,,United States,100.0,2022-12-13,0.0
001PY00000fbbgpYAA,,,,,United States,602516.97,2025-01-17,1.0
001PY00000fbbgqYAA,,,,,United States,7362.68,2023-01-12,0.0
001PY00000fbbgrYAA,Pleasantville,NY,,,United States,200.0,2022-06-03,0.0
001PY00000fbbgtYAA,,,,,United States,250.0,2022-01-20,0.0
001PY00000fbbgvYAA,Chicago,IL,,,United States,45000.0,2025-05-30,2.0
001PY00000fbbgwYAA,New York,NY,,,United States,50000.0,2024-07-10,1.0
001PY00000fbbgxYAA,New York,NY,,,United States,5000.0,2022-05-13,0.0
001PY00000fbbgyYAA,New Gretna,NJ,,,United States,1000.0,2022-03-21,0.0
001PY00000fbbgzYAA,Atlantic Highlands,NJ,,,United States,10300.01,2023-01-04,0.0
001PY00000fbbh0YAA,New York,NY,,,United States,5000.0,2023-03-07,0.0
001PY00000fbbh1YAA,,,,,United States,100.0,2023-01-27,0.0
001PY00000fbbh2YAA,Saco,ME,,,United States,80.0,2023-02-28,0.0
001PY00000fbbh3YAA,New York,NY,,,United States,1000.0,2023-03-03,0.0
001PY00000fbbh4YAA,Ossining,NY,,,United States,415.5,2024-01-24,0.0
001PY00000fbbh5YAA,New York,NY,,,United States,500.0,2023-03-29,0.0
001PY00000fbbh6YAA,,,,,United States,100000.0,2024-07-15,1.0
001PY00000fbbh7YAA,New York,NY,,,United States,5000.0,2023-03-09,0.0
001PY00000fbbh8YAA,Irvington,NY,,,United States,100.0,2023-04-26,0.0
001PY00000fbbh9YAA,,,,,United States,48000.0,2025-07-09,3.0
001PY00000fbbhAYAQ,New York,NY,,,United States,2500.0,2023-05-15,0.0
001PY00000fbbhBYAQ,New York,NY,,,United States,2500.0,2024-04-29,1.0
001PY00000fbbhCYAQ,,,,,United States,105000.0,2025-06-27,2.0
001PY00000fbbhDYAQ,,,,,United States,140000.0,2025-05-12,4.0
001PY00000fbbhEYAQ,,,,,United States,20.0,2023-06-28,0.0
001PY00000fbbhFYAQ,East Hampton,NY,,,United States,500.0,2023-08-09,0.0
001PY00000fbbhGYAQ,Kingston,NY,,,United States,25000.0,2024-06-26,1.0
001PY00000fbbhHYAQ,New York,NY,,,United States,45000.0,2025-01-06,2.0
001PY00000fbbhIYAQ,Boca Raton,FL,,,United States,50.0,2023-08-30,0.0
001PY00000fbbhJYAQ,,,,,United States,1.53,2023-12-13,1.0
001PY00000fbbhKYAQ,,,,,United States,10000.0,2023-09-13,0.0
001PY00000fbbhLYAQ,,,,,United States,15000.0,2023-06-29,0.0
001PY00000fbbhMYAQ,,,,,United States,145.52,2023-02-01,0.0
001PY00000fbbhNYAQ,,,,,United States,50.0,2023-10-17,0.0
001PY00000fbbhOYAQ,New York,NY,,,United States,16229.91,2024-05-02,1.0
001PY00000fbbhPYAQ,New York,NY,,,United States,500.0,2023-02-01,0.0
001PY00000fbbhQYAQ,New City,NY,,,United States,500.0,2023-11-09,0.0
001PY00000fbbhRYAQ,River Vale,NJ,,,United States,100.0,2023-11-13,0.0
001PY00000fbbhSYAQ,,,,,United States,100.0,2023-11-17,0.0
001PY00000fbbhTYAQ,Eastham,MA,,,United States,500.0,2023-12-05,1.0
001PY00000fbbhUYAQ,Woodstock,NY,,,United States,500.0,2023-12-08,0.0
001PY00000fbbhVYAQ,,,,,United States,1000.0,2024-12-23,1.0
001PY00000fbbhWYAQ,,,,,United States,2000.0,2023-12-15,0.0
001PY00000fbbhXYAQ,,,,,United States,500.0,2023-12-15,0.0
001PY00000fbbhYYAQ,,,,,United States,200.0,2024-12-11,1.0
001PY00000fbbhZYAQ,,,,,United States,50.0,2023-12-21,0.0
001PY00000fbbhaYAA,Norfolk,VA,,,United States,15000.0,2024-12-23,1.0
001PY00000fbbhcYAA,Rolling Meadows,IL,,,United States,95.69,2024-02-28,0.0
001PY00000fbbhdYAA,White Plains,NY,,,United States,47500.0,2025-03-21,3.0
001PY00000fbbheYAA,Seattle,WA,,,United States,2500.0,2024-03-08,0.0
001PY00000fbbhfYAA,Maryknoll,NY,,,United States,125.0,2024-03-27,1.0
001PY00000fbbhgYAA,Ossining,NY,,,United States,125.0,2024-03-27,0.0
001PY00000fbbhhYAA,Chicago,IL,,,United States,5000.0,2025-02-18,2.0
001PY00000fbbhiYAA,Old Greenwich,CT,,,United States,20000.0,2025-10-06,2.0
001PY00000fbbhjYAA,Tarrytown,NY,,,United States,1000.0,2024-05-02,1.0
001PY00000fbbhkYAA,West Park,NY,,,United States,1000.0,2024-02-02,0.0
001PY00000fbbhmYAA,Yonkers,NY,,,United States,500.0,2024-06-28,1.0
001PY00000fbbhnYAA,Tarrytown,NY,,,United States,150.0,2024-07-08,1.0
001PY00000fbbhoYAA,Pleasantville,NY,,,United States,100.0,2024-07-08,1.0
001PY00000fbbhpYAA,,,,,United States,12927.47,2025-01-03,5.0
001PY00000fbbhqYAA,Goshen,NY,,,United States,50.0,2024-08-01,1.0
001PY00000fbbhrYAA,Brooklyn,NY,,,United States,1000.0,2024-02-05,0.0
001PY00000fbbhsYAA,,,,,United States,1500.0,2025-02-25,1.0
001PY00000fbbhuYAA,,,,,United States,40000.0,2024-10-11,1.0
001PY00000fbbhvYAA,Hudson,NY,,,United States,362.0,2024-09-16,1.0
001PY00000fbbhwYAA,Falls Church,VA,,,United States,4750.0,2024-09-25,1.0
001PY00000fbbhxYAA,,,,,United States,113.28,2024-10-01,2.0
001PY00000fbbhyYAA,,,,,United States,2048.55,2025-01-31,3.0
001PY00000fbbhzYAA,Scarsdale,NY,,,United States,523.0,2024-12-20,2.0
001PY00000fbbi0YAA,Long Beach,CA,,,United States,6000.0,2025-03-21,2.0
001PY00000fbbi3YAA,,,,,United States,25.0,2024-01-10,0.0
001PY00000fbbi6YAA,Briarcliff Manor,NY,,,United States,2650.0,2024-02-20,0.0
001PY00000fbbiBYAQ,New York,NY,,,United States,21765.0,2024-12-23,1.0
001PY00000fbbiCYAQ,Tarrytown,NY,,,United States,25.0,2020-06-16,0.0
001PY00000fbbkcYAA,New York,NY,,,United States,240000.0,2020-05-01,0.0
001PY00000fbbkhYAA,Kalamazoo,MI,,,United States,13500.0,2025-09-23,1.0
001PY00000fbbkrYAA,Plymouth Meeting,PA,,,United States,216000.0,2021-07-02,0.0
001PY00000fbbkxYAA,New York,NY,,,United States,500000.0,2024-01-05,0.0
001PY00000fbbl0YAA,New York,NY,,,United States,761366.07,2025-03-06,3.0
001PY00000fbbl5YAA,Bronx,NY,,,United States,1295.0,2025-07-15,3.0
001PY00000fbbl7YAA,Corinth,VT,,,United States,1400000.0,2022-03-11,0.0
001PY00000fbbl8YAA,Ventura,CA,,,United States,65172.5,2020-02-18,0.0
001PY00000fbblZYAQ,Sonoma,CA,,,United States,852654.56,2025-08-18,2.0
001PY00000fbbnNYAQ,New York,NY,,,United States,1285000.0,2024-07-26,1.0
001PY00000fbbnRYAQ,Greenwich,CT,,,United States,190000.0,2020-11-12,0.0
001PY00000fbbnVYAQ,Westhampton Beach,NY,,,United States,70000.0,2024-07-10,1.0
001PY00000fbbnXYAQ,New York,NY,,,United States,4250.0,2020-08-26,0.0
001PY00000fbbnYYAQ,Armonk,NY,,,United States,7505.34,2025-04-01,50.0
001PY00000fbbncYAA,New York,NY,,,United States,274662.0,2025-02-24,3.0
001PY00000fbbnjYAA,New York,NY,,,United States,32750.0,2025-05-14,1.0
001PY00000fbbnoYAA,Rockville,MD,,,United States,1072.36,2022-06-03,0.0
001PY00000fbbo4YAA,Highland Falls,NY,,,United States,60922.0,2023-12-19,0.0
