Account ID        , City                          , County                                   , State         , Country      , Total Gifts (All Time), Last Gift Date, Number of Gifts Past 18 Months, Location                                  , OriginalLocation      , ResolvedCity                  , Latitude  , Longitude   , LocalArea
001PY00000fbbXkYAI, San Diego                     , San Diego                                , California    , United States,               95000.0 , 2025-03-13    ,                            1.0, "San Diego, California"                   , La Jolla              , San Diego                     , 32.8458529, -117.2575702, 
001PY00000fbbXlYAI, Morristown                    , Morris                                   , New Jersey    , United States,               27000.0 , 2025-03-26    ,                            3.0, "Morristown, New Jersey"                  , Morristown            , Morristown                    , 40.7970382, -74.4809868 , 
001PY00000fbbXmYAI, Town of Woodstock             , Ulster                                   , New York      , United States,                 500.0 , 2023-02-08    ,                            0.0, "Town of Woodstock, New York"             , Woodstock             , Town of Woodstock             , 42.0410578, -74.1182492 , 
001PY00000fbbXoYAI, Village of Millerton          , Dutchess                                 , New York      , United States,                 185.0 , 2025-05-19    ,                            1.0, "Village of Millerton, New York"          , Millerton             , Village of Millerton          , 41.9538304, -73.5105225 , 
001PY00000fbbXpYAI, Princeton                     , Mercer                                   , New Jersey    , United States,                5227.46, 2024-02-27    ,                            0.0, "Princeton, New Jersey"                   , Princeton             , Princeton                     , 40.3496953, -74.6597376 , 
001PY00000fbbXuYAI, Kalamazoo                     , Kalamazoo                                , Michigan      , United States,                1000.0 , 2024-09-11    ,                            1.0, "Kalamazoo, Michigan"                     , Kalamazoo             , Kalamazoo                     , 42.291707 , -85.5872286 , 
001PY00000fbbXzYAI, Hartsdale                     , Westchester                              , New York      , United States,              157500.0 , 2024-12-09    ,                            1.0, "Hartsdale, New York"                     , Hartsdale             , Hartsdale                     , 41.0130865, -73.8089743 , 
001PY00000fbbYCYAY, New York City                 ,                                          , New York      , United States,               20000.0 , 2024-09-09    ,                            1.0, "New York City, New York"                 , New York              , City of New York              , 40.7127281, -74.0060152 , 
001PY00000fbbYEYAY, New York City                 ,                                          , New York      , United States,               13100.0 , 2024-04-19    ,                            1.0, "New York City, New York"                 , New York              , City of New York              , 40.7127281, -74.0060152 , 
001PY00000fbbYFYAY, Princeton                     , Mercer                                   , New Jersey    , United States,                5454.57, 2025-01-17    ,                            2.0, "Princeton, New Jersey"                   , Princeton             , Princeton                     , 40.3496953, -74.6597376 , 
001PY00000fbbYSYAY, Lower Merion Township         , Montgomery                               , Pennsylvania  , United States,               30000.0 , 2021-04-23    ,                            0.0, "Lower Merion Township, Pennsylvania"     , Bryn Mawr             , Lower Merion Township         , 40.0238245, -75.3173407 , 
001PY00000fbbYZYAY, New York City                 ,                                          , New York      , United States,              395800.0 , 2023-03-14    ,                            0.0, "New York City, New York"                 , New York              , City of New York              , 40.7127281, -74.0060152 , 
001PY00000fbbYgYAI, Chappaqua                     , Westchester                              , New York      , United States,              130500.0 , 2025-05-15    ,                            2.0, "Chappaqua, New York"                     , Chappaqua             , Chappaqua                     , 41.157284 , -73.7676998 , 
001PY00000fbbYiYAI, New York City                 ,                                          , New York      , United States,              574000.0 , 2025-05-02    ,                            1.0, "New York City, New York"                 , New York              , City of New York              , 40.7127281, -74.0060152 , 
001PY00000fbbYrYAI, Town of Bedford               , Westchester                              , New York      , United States,               45290.0 , 2025-04-28    ,                            1.0, "Town of Bedford, New York"               , Katonah               , Town of Bedford               , 41.2558715, -73.6847453 , 
001PY00000fbbYvYAI, Washington                    ,                                          ,               , United States,               17582.46, 2025-02-18    ,                            1.0, Washington                                , Washington            , Washington                    , 38.8950368, -77.0365427 , 
001PY00000fbbZ0YAI, Town of Mount Pleasant        , Westchester                              , New York      , United States,                 100.0 , 2021-05-28    ,                            0.0, "Town of Mount Pleasant, New York"        , Valhalla              , Town of Mount Pleasant        , 41.075213 , -73.7750061 , 
001PY00000fbbZEYAY, New York City                 ,                                          , New York      , United States,              108455.0 , 2022-08-08    ,                            0.0, "New York City, New York"                 , New York              , City of New York              , 40.7127281, -74.0060152 , 
